raw_csv_parameter_name,relationship_class,direction,turning_point_1,turning_point_2,beneficial_range,harmful_range,effect_size_yield_pct,shape_fold_consistency,n_fold_curves_used,linear_cv_rmse,spline_cv_rmse,rmse_improvement_pct,linear_cv_r2,spline_cv_r2,folds_spline_better,nonlinear_advantage,evidence_label,reason,n_train_rows_used
MEASURE_ET_RF_Modeling_Cgd,THRESHOLD,positive,85.625605,,79.75 to 85.76,75.66 to 79.48,1.4081,4/5,5,2.2398,2.2168,1.03,0.0095,0.029,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0290).,1200
TOPSIN_ET_sh_GA142_GN,INVERTED_U,n/a,34.449366,,32.27 to 35.17,28.75 to 32.07,1.3946,5/5,5,2.2439,2.1934,2.254,0.006,0.0507,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0507).,1200
MEASURE_ET_DC_RF_S11dB_26GHz,SATURATION,negative,-8.236461,,-11.89 to -8.33,-14.71 to -12.08,1.3936,5/5,5,2.2379,2.244,-0.274,0.0109,0.0009,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0009).,1200
MEASURE_ET_DC_SMALL_Vt_gd,THRESHOLD,positive,49.605724,,49.74 to 52.63,42.37 to 45,1.3839,4/5,5,2.2534,2.2528,0.03,0.0004,0.0005,2/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0005).,1200
TOPSIN_ET_DC_SMALL_Gm_max,THRESHOLD,positive,578.349144,,571.1 to 619.6,493.5 to 566.2,1.3789,4/5,5,2.2491,2.2307,0.818,0.0025,0.0176,4/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0176).,1200
TOPSIN_ET_C175pf,COMPLEX_NONLINEAR,n/a,33.772234,36.057943,33.39 to 36.95,37.2 to 39.99,1.3664,4/5,5,2.2542,2.2282,1.155,-0.0016,0.0197,4/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0197).,1200
MEASURE_ET_DC_SEC_S_Ig_cut3_mAmm_neg_SD3p5,THRESHOLD,positive,9.003184,,9.226 to 12.34,4.555 to 9.003,1.3663,5/5,5,2.2497,2.2149,1.547,0.0014,0.0309,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0309).,1200
TOPSIN_ET_R514,PROCESS_WINDOW,n/a,14.509377,,11.66 to 13.98,14.19 to 16.52,1.364,5/5,5,2.2559,2.224,1.417,-0.0032,0.0241,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0241).,1200
MEASURE_ET_TF_AB_2,THRESHOLD,positive,22.803574,,21.09 to 23.38,14.44 to 16.5,1.3633,4/5,5,2.2553,2.2424,0.575,-0.0032,0.0063,3/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0063).,1200
FIC_ET_Rc_OG142,SATURATION,negative,0.141896,,0.1284 to 0.2169,0.2207 to 0.2784,1.3632,5/5,5,2.2332,2.2154,0.797,0.0161,0.0325,5/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0325).,1200
MEASURE_ET_DC_SEC_X_Ids_max_norm,THRESHOLD,positive,41.098952,,41.74 to 44.95,37.04 to 41.53,1.363,4/5,5,2.24,2.2305,0.426,0.0089,0.015,3/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0150).,1200
THIN_ET_DC_RF_Vg_max_Vd_0p1mA,U_SHAPED,n/a,74.023308,,75.09 to 79.13,71.53 to 74.85,1.358,4/5,5,2.2416,2.2242,0.777,0.0093,0.0229,4/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0229).,1200
MEASURE_ET_DC_RF_Id_gm_max_W,SATURATION,positive,591.306932,,565.5 to 634.4,479.3 to 559.7,1.3513,5/5,5,2.2503,2.2492,0.049,0.0019,0.0027,4/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0027).,1200
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,COMPLEX_NONLINEAR,n/a,-0.019093,-0.000373,-0.01389 to 0.006907,0.008987 to 0.03395,1.3386,5/5,5,2.2418,2.1364,4.702,0.0085,0.0996,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0996).,1200
MEASURE_ET_DC_SEC_Vboff_1,PROCESS_WINDOW,n/a,43.950331,,42.44 to 45.23,39.89 to 42.21,1.338,4/5,5,2.2595,2.2477,0.523,-0.0057,0.0055,4/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0055).,1200
TFRP_M_Gauge_P_E_Resistors,COMPLEX_NONLINEAR,n/a,82.250448,84.480566,75.72 to 78.91,79.22 to 82.09,1.332,4/5,5,2.2563,2.2425,0.612,-0.0035,0.0049,3/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0049).,1200
FIC_Height_FIC_metal_thickness,SATURATION,negative,2.344965,,2.071 to 2.333,1.91 to 2.059,1.3283,4/5,5,2.2564,2.2412,0.674,-0.0035,0.0099,3/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0099).,1200
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm_first_SD3p5,THRESHOLD,positive,-0.796455,,-1.029 to -0.7898,-1.242 to -1.042,1.3282,4/5,5,2.2547,2.2407,0.623,-0.0031,0.0104,5/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0104).,1200
MEASURE_ET_DC_Diode_Rs_9p5,COMPLEX_NONLINEAR,n/a,17.413591,20.642443,14.72 to 17.52,17.74 to 20.32,1.3214,4/5,5,2.2568,2.216,1.81,-0.0042,0.0325,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0325).,1200
THIN_ET_TANR,THRESHOLD,positive,81.644519,,82.53 to 89.33,79.5 to 82.27,1.3213,5/5,5,2.2389,2.2221,0.752,0.0123,0.0273,4/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0273).,1200
MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm_FPSD3p2,THRESHOLD,positive,92.892487,,92.77 to 96.77,87.02 to 92.52,1.3138,5/5,5,2.2138,2.2146,-0.034,0.0321,0.0311,2/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0311).,1200
MEASURE_ET_DC_SMALL_Gm_m0p2,SATURATION,positive,430.290962,,565.5 to 621.6,473.7 to 560.4,1.3136,5/5,5,2.2543,2.2072,2.086,-0.0023,0.0418,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0418).,1200
THIN_ET_Ran_con_1_OW_CR,SATURATION,negative,20.122139,,22.12 to 23.9,20.57 to 21.9,1.3079,4/5,5,2.2567,2.2503,0.283,-0.0038,0.0023,4/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0023).,1200
MEASURE_ET_DC_RF_CF_S12_Ph_L1018,THRESHOLD,negative,-23.385545,,-27.37 to -23.75,-23.51 to -20.85,1.2991,5/5,5,2.2512,2.2355,0.699,0.0006,0.015,5/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0150).,1200
MEASURE_ET_DC_Big_Vg_max_Vd,SATURATION,negative,40.119196,,32.59 to 35.31,39.07 to 40.75,1.2938,4/5,5,2.2519,2.2396,0.546,0.0002,0.0122,3/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0122).,1200
FIC_ET_R_f_hr_3,THRESHOLD,positive,72.709918,,72.01 to 75.52,66.38 to 71.77,1.2898,5/5,5,2.2376,2.2435,-0.265,0.0136,0.0077,1/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0077).,1200
THIN_ET_R314,THRESHOLD,positive,30.463458,,30.79 to 34.05,28.4 to 30.57,1.2791,4/5,5,2.2569,2.2301,1.187,-0.0048,0.0177,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0177).,1200
TOPSIN_ET_Vp_1,SATURATION,positive,-0.845976,,-1.068 to -0.9737,-1.256 to -1.081,1.2775,5/5,5,2.2554,2.2454,0.443,-0.0034,0.0059,5/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0059).,1200
MEASURE_ET_RF_Modeling_Mag_i,SATURATION,positive,16.351209,,14.13 to 15.06,13.21 to 14.04,1.2726,5/5,5,2.2492,2.2446,0.205,0.0042,0.0073,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0073).,1200
MEASURE_ET_DC_RF_S11dB_26GHz_W,THRESHOLD,positive,-12.4098,,-12.97 to -10.37,-15.74 to -13.15,1.2703,5/5,5,2.2488,2.2253,1.044,0.0029,0.0239,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0239).,1200
TOPSIN_ET_DC_SMALL_n_gd,U_SHAPED,n/a,79.123209,,80.7 to 84.1,76.09 to 80.46,1.27,4/5,5,2.2518,2.2235,1.259,-0.0004,0.0241,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0241).,1200
MEASURE_ET_DC_SEC_S_Ig_cut2_mAmm_neg,THRESHOLD,positive,77.663494,,78.46 to 81.42,74.13 to 78.23,1.2679,5/5,5,2.2523,2.2363,0.709,-0.0007,0.0131,5/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0131).,1200
MEASURE_ET_DC_RF_Vg_Vbon_max,PROCESS_WINDOW,n/a,87.109068,,84.77 to 87.52,87.8 to 91.37,1.2658,5/5,5,2.2529,2.2365,0.729,-0.0003,0.0128,4/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0128).,1200
MEASURE_ET_LT_SEC_ChipStatus,COMPLEX_NONLINEAR,n/a,33.952046,36.099985,31.71 to 34.58,29.21 to 31.54,1.2642,5/5,5,2.2506,2.2102,1.795,0.0026,0.0368,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0368).,1200
SIN_ET_Probe_Number,COMPLEX_NONLINEAR,n/a,2.086492,4.290617,2.769 to 4.343,1.404 to 2.664,1.2638,5/5,5,2.2551,2.2037,2.279,-0.0019,0.0449,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0449).,1200
MEASURE_ET_DC_RF_Vt_gs,COMPLEX_NONLINEAR,n/a,1.185031,2.593123,0.07867 to 1.688,4.906 to 6.315,1.2558,5/5,5,2.2538,2.1734,3.57,-0.0016,0.063,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0630).,1200
FIC_ET_DC_RF_Vg_optt1,THRESHOLD,positive,27.969558,,28.09 to 31.33,22.3 to 27.85,1.2521,5/5,5,2.2484,2.2505,-0.098,0.0028,0.0009,4/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0009).,1200
ANODE_ET_Probe_Number,THRESHOLD,positive,2.081825,,1.82 to 3.6,3.704 to 5.065,1.2504,4/5,5,2.2574,2.2332,1.07,-0.0046,0.0154,4/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0154).,1200
MEASURE_ET_DC_RF_Freq_cut_L2180,THRESHOLD,positive,79.227316,,78.71 to 81.83,71.68 to 78.45,1.2473,5/5,5,2.2462,2.2486,-0.111,0.0044,0.0033,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0033).,1200
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_FPSD3p2,INVERTED_U,n/a,48.344292,,45.06 to 48.87,49.09 to 52.9,1.2451,5/5,5,2.2419,2.2168,1.119,0.01,0.0316,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0316).,1200
TOPSIN_ET_Load_Pull_Pin_Last,THRESHOLD,positive,31.56403,,29.52 to 32.17,25.43 to 29.28,1.2401,5/5,5,2.2534,2.2308,1.004,-0.0016,0.018,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0180).,1200
SIN_ET_DC_RF_Vp_1,THRESHOLD,positive,-0.799696,,-0.8825 to -0.7933,-1.214 to -0.8953,1.2396,5/5,5,2.2564,2.2356,0.921,-0.004,0.0137,4/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0137).,1200
SIN_GATE_ET_OHMIC_conc,THRESHOLD,positive,96.980317,,98 to 104.7,93.33 to 97.71,1.2387,4/5,5,2.2383,2.2407,-0.107,0.0119,0.0098,1/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0098).,1200
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,SATURATION,negative,-1.310363,,-0.9546 to -0.7934,-1.29 to -1.169,1.2366,5/5,5,2.2544,2.238,0.729,-0.0029,0.0122,5/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0122).,1200
MEASURE_ET_Load_Pull_Pout_W_mm_last,THRESHOLD,negative,1.014025,,0.9395 to 1.041,0.7668 to 0.9316,1.2266,4/5,5,2.2448,2.2252,0.874,0.0075,0.025,5/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0250).,1200
MEASURE_ET_DC_SEC_X_Ig_cut2_mAmm_neg_FPSD3p2,U_SHAPED,n/a,32.643184,,33.77 to 37.28,30.51 to 33.52,1.2236,4/5,5,2.2551,2.2321,1.02,-0.0023,0.0195,4/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0195).,1200
SIN_GATE_ET_R214,SATURATION,positive,64.625528,,69.8 to 73.43,63.33 to 65.66,1.207,4/5,5,2.2493,2.246,0.143,0.0031,0.0057,4/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0057).,1200
MEASURE_ET_DC_RD_S21dB_18GHz,THRESHOLD,positive,16.010038,,15.91 to 17.04,13.02 to 15.8,1.2006,4/5,5,2.2543,2.2231,1.385,-0.0017,0.0276,4/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0276).,1200
MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm,THRESHOLD,positive,71.976988,,70.97 to 76.25,66.45 to 70.72,1.181,4/5,5,2.2377,2.2402,-0.112,0.0104,0.0088,2/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0088).,1200
MEASURE_ET_DC_SEC_S_Vg_at_I3_pos_FPSD3p2,THRESHOLD,positive,16.092221,,15.97 to 20.76,21.01 to 23.54,1.1681,5/5,5,2.2502,2.2381,0.538,0.0013,0.0127,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0127).,1200
FIC_ET_sh_f_hr_23,THRESHOLD,negative,85.342742,,82.37 to 84.85,85.09 to 89.8,1.1673,5/5,5,2.2593,2.2315,1.228,-0.006,0.0168,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0168).,1200
MEASURE_ET_DC_SEC_X_Vg_at_I2_pos_SD3p5,SATURATION,positive,49.239188,,42.1 to 43.09,43.29 to 48.84,1.1604,4/5,5,2.2577,2.2401,0.782,-0.0048,0.0114,5/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0114).,1200
TOPSIN_ET_KLV_F_M1_4u,SATURATION,negative,48.76301,,52.01 to 55.46,48.55 to 51.79,1.156,5/5,5,2.2566,2.2424,0.629,-0.0042,0.0053,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0053).,1200
MEASURE_ET_Load_Pull_Id_ord,SATURATION,positive,103.573957,,98.46 to 99.77,94.01 to 98.2,1.1504,5/5,5,2.2543,2.2471,0.318,-0.0012,0.0052,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0052).,1200
MEASURE_ET_Rsh_cat_c2,U_SHAPED,n/a,117.84796,,104 to 110.8,111.4 to 118.2,1.1494,5/5,5,2.2542,2.2445,0.433,-0.0015,0.0049,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0049).,1200
THIN_ET_Ran_con_1,THRESHOLD,negative,48.727681,,44.93 to 49.05,42.32 to 44.71,1.1469,4/5,5,2.2572,2.2384,0.837,-0.0042,0.0124,4/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0124).,1200
THIN_ET_DC_RF_Vbgs_0p01,THRESHOLD,positive,26.128468,,27.02 to 34.49,22.75 to 26.66,1.1447,4/5,5,2.2186,2.086,5.977,0.0309,0.1293,3/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.1293).,1200
TFRP_ET_TFRP,THRESHOLD,positive,34.545807,,32.29 to 35.23,28.58 to 32.1,1.1442,4/5,5,2.2449,2.2231,0.971,0.0049,0.0247,5/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0247).,1200
MEASURE_ET_RF_Modeling_Fmax,SATURATION,positive,5.15338,,8.258 to 11.16,11.36 to 13.02,1.1432,5/5,5,2.259,2.2363,1.004,-0.0053,0.0154,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0154).,1200
MEASURE_ET_DC_SEC_X_Ids_max_SD3p5,PROCESS_WINDOW,n/a,49.456195,,46.58 to 51.18,42.91 to 46.35,1.1371,4/5,5,2.2438,2.2378,0.268,0.0063,0.0098,3/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0098).,1200
MEASURE_ET_RF_Modeling_R_Gd,SATURATION,negative,68.079406,,62.89 to 68.32,59.35 to 62.65,1.1319,5/5,5,2.2528,2.2423,0.467,-0.0014,0.0066,4/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0066).,1200
BMETAL1_Height_Metal1_metal_thickness,THRESHOLD,negative,2.268285,,1.963 to 2.274,2.285 to 2.396,1.1319,4/5,5,2.2488,2.2393,0.42,0.0036,0.0118,5/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0118).,1200
FIC_ET_DC_RF_Vt_gd,THRESHOLD,negative,73.04465,,69.08 to 73.4,65.96 to 68.84,1.131,4/5,5,2.2569,2.2341,1.01,-0.0045,0.0173,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0173).,1200
TOPSIN_ET_RGAN3,THRESHOLD,positive,49.20767,,49.66 to 53.72,44.92 to 49.43,1.1219,5/5,5,2.2437,2.242,0.078,0.0078,0.0093,2/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0093).,1200
MEASURE_ET_DC_Big_Vds_max,THRESHOLD,positive,70.975167,,70.49 to 76.31,67.09 to 70.25,1.1196,5/5,5,2.2423,2.2289,0.595,0.0088,0.0196,4/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0196).,1200
TFRP_ET_Rc_TF_AB_2,THRESHOLD,negative,0.225678,,0.17 to 0.2341,0.2375 to 0.2712,1.1171,4/5,5,2.2504,2.2003,2.228,0.0006,0.043,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0430).,1200
MEASURE_ET_DC_SEC_Vg_max_ON,THRESHOLD,positive,79.661035,,80.57 to 86.56,76.41 to 80.31,1.1023,4/5,5,2.2352,2.2286,0.298,0.015,0.02,4/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0200).,1200
MEASURE_ET_Gate_res,THRESHOLD,positive,93.617834,,93.24 to 98.55,88.68 to 92.99,1.0983,4/5,5,2.2406,2.2308,0.437,0.0105,0.0192,4/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0192).,1200
MEASURE_ET_DC_RF_CF_S22_Ph_L2180,SATURATION,negative,-15.945391,,-9.09 to -7.824,-12.68 to -9.301,1.0689,4/5,5,2.2585,2.2481,0.461,-0.0058,0.0043,5/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0043).,1200
THIN_ET_R_f_hr_3,THRESHOLD,positive,93.27526,,93.72 to 101.5,89.84 to 93.42,1.0685,5/5,5,2.2413,2.2466,-0.236,0.0074,0.0018,1/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0018).,1200
TOPSIN_ET_R_f_hr_1,THRESHOLD,positive,71.471748,,70.41 to 74.19,64.97 to 70.17,1.0643,5/5,5,2.2283,2.2257,0.117,0.0211,0.0232,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0232).,1200
THIN_ET_R_660_VER,THRESHOLD,positive,74.786719,,68.07 to 74.15,65.04 to 67.82,1.0609,4/5,5,2.2558,2.2368,0.844,-0.0034,0.0145,5/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0145).,1200
MEASURE_ET_RF_Modeling_Vd_stress,THRESHOLD,positive,95.5805,,94.79 to 99.27,88.99 to 94.53,1.0445,5/5,5,2.2293,2.2206,0.391,0.0217,0.0295,5/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0295).,1200
MEASURE_ET_DC_RF_n_gs,THRESHOLD,positive,53.830993,,53.49 to 57.1,48.3 to 53.27,1.041,5/5,5,2.2478,2.2361,0.521,0.0037,0.0142,4/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0142).,1200
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_SD3p5,U_SHAPED,n/a,35.837641,,32.02 to 33.98,34.2 to 36.82,1.0353,5/5,5,2.261,2.245,0.705,-0.007,0.0062,4/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0062).,1200
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_SD3p5,THRESHOLD,positive,67.539477,,66.08 to 70.22,60.73 to 65.84,1.0337,5/5,5,2.2368,2.2373,-0.019,0.0124,0.0127,2/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0127).,1200
MEASURE_ET_RF_Modeling_Lg,U_SHAPED,n/a,25.619351,,20.24 to 23.53,23.75 to 26.39,1.0328,4/5,5,2.258,2.2297,1.255,-0.0044,0.0207,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0207).,1200
METAL1_Height_Metal1_metal_thickness,SATURATION,negative,1.999194,,2.256 to 2.424,2.029 to 2.244,1.0296,4/5,5,2.2575,2.2437,0.612,-0.0046,0.0079,5/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0079).,1200
THIN_ET_Probe_Number,THRESHOLD,positive,4.91285,,3.079 to 5.07,1.193 to 2.974,1.0235,5/5,5,2.2492,2.2297,0.865,0.0028,0.0195,5/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0195).,1200
MEASURE_ET_DC_SEC_Vg_min_ON,THRESHOLD,positive,92.124204,,92.8 to 98.99,88.49 to 92.53,1.0151,4/5,5,2.2373,2.2337,0.163,0.0125,0.0141,3/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0141).,1200
MEASURE_ET_DC_RF_S21dB_10GHz,THRESHOLD,positive,15.157264,,15.44 to 17.16,13.73 to 15.35,0.9994,5/5,5,2.2469,2.2354,0.512,0.0049,0.0164,4/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0164).,1200
THIN_ET_sh_f_tn_23,SATURATION,positive,36.902152,,37.34 to 39.72,35.17 to 37.12,0.9563,5/5,5,2.2499,2.2434,0.291,0.0027,0.007,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0070).,1200
MEASURE_ET_RF_Modeling_S21_19G_Before,THRESHOLD,positive,16.310812,,14.55 to 16.26,12.94 to 14.45,0.9102,5/5,5,2.2493,2.2374,0.528,0.0032,0.0134,5/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0134).,1200
MEASURE_ET_C500pf,COMPLEX_NONLINEAR,n/a,47.910941,50.100786,47.79 to 50.71,43.17 to 47.55,0.91,5/5,5,2.2439,2.2353,0.384,0.0081,0.0167,4/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0167).,1200
MEASURE_ET_TF_AB_3,THRESHOLD,positive,103.121481,,102.8 to 106.2,95.35 to 102.6,0.908,4/5,5,2.2495,2.2447,0.21,0.0036,0.0077,4/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0077).,1200
SIN_ET_DC_RF_Vboff,THRESHOLD,positive,82.428947,,82.68 to 87.74,77.88 to 82.43,0.8781,4/5,5,2.2415,2.2351,0.288,0.0095,0.015,4/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0150).,1200
FIC_ET_G_per_6K,SATURATION,positive,44.430407,,44.89 to 47.41,47.64 to 50.39,0.8744,5/5,5,2.2583,2.2412,0.756,-0.0052,0.0077,4/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0077).,1200
MEASURE_ET_DC_SMALL_Vp_1,THRESHOLD,negative,-0.813556,,-1.112 to -0.8898,-1.334 to -1.126,0.8737,4/5,5,2.2535,2.2308,1.008,-0.0008,0.0196,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0196).,1200
SIN_GATE_ET_TR_1F,THRESHOLD,positive,79.161309,,80.53 to 84.26,74.81 to 80.28,0.8696,5/5,5,2.2434,2.2342,0.406,0.0087,0.0171,5/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0171).,1200
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg,THRESHOLD,positive,37.558031,,37.44 to 41.26,33.62 to 37.2,0.8436,4/5,5,2.25,2.2425,0.332,0.0015,0.0087,4/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0087).,1200
SIN_ET_DC_RF_Vdg_max_0p1mA,THRESHOLD,positive,80.989297,,80.7 to 85.03,76.37 to 80.41,0.8202,5/5,5,2.2508,2.2442,0.293,0.0016,0.0071,4/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0071).,1200
MEASURE_ET_RF_Modeling_S11ang_10GHz,COMPLEX_NONLINEAR,n/a,-10.631883,-8.87484,-14.44 to -12.49,-12.29 to -10.53,0.8197,5/5,5,2.2606,2.2408,0.875,-0.0077,0.0078,4/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.0078).,1200
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg1,THRESHOLD,positive,85.517823,,85.14 to 89.41,79.62 to 84.89,0.8177,4/5,5,2.2412,2.2502,-0.401,0.0104,0.0023,0/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.0023).,1200
