parameter_A,parameter_B,parameter_C,channels,lower_order_cv_rmse,full_3way_cv_rmse,incremental_rmse_improvement_pct,lower_order_cv_r2,full_3way_cv_r2,incremental_r2,fold_reproducibility,high_yield_joint_condition,low_yield_joint_condition,evidence_label,reason
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_ABVIETCH,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.0501,1.999,2.494,0.171,0.2108,0.0398,5/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_ABVIETCH=high, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_ABVIETCH=low, TOPSIN_ET_C100Cap1pf=low",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0398."
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_CapPARCAP_0,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.0999,2.0285,3.399,0.1265,0.185,0.0585,5/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_CapPARCAP_0=high, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_CapPARCAP_0=high, TOPSIN_ET_C100Cap1pf=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0585."
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_Stress_Id_stress_before,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.1031,2.0875,0.741,0.1281,0.141,0.0129,5/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_Stress_Id_stress_before=high, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_Stress_Id_stress_before=low, TOPSIN_ET_C100Cap1pf=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0129."
THIN_ET_lkg_100_at20V,TOPSIN_ET_CapPARCAP_0,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.0755,2.0524,1.114,0.1447,0.1635,0.0188,5/5,"THIN_ET_lkg_100_at20V=low, TOPSIN_ET_CapPARCAP_0=low, TOPSIN_ET_lkg_SY8_80=low","THIN_ET_lkg_100_at20V=high, TOPSIN_ET_CapPARCAP_0=high, TOPSIN_ET_lkg_SY8_80=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0188."
THIN_ET_lkg_100_at20V,TOPSIN_ET_DC_SMALL_Vdg_max,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.0845,2.0654,0.917,0.1418,0.1575,0.0157,5/5,"THIN_ET_lkg_100_at20V=high, TOPSIN_ET_DC_SMALL_Vdg_max=low, TOPSIN_ET_lkg_Cap3=low","THIN_ET_lkg_100_at20V=high, TOPSIN_ET_DC_SMALL_Vdg_max=high, TOPSIN_ET_lkg_Cap3=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0157."
THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.1354,2.073,2.92,0.0985,0.1494,0.0509,5/5,"THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=low, TOPSIN_ET_lkg_SY8_80=high","THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=low, TOPSIN_ET_lkg_SY8_80=low",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0509."
TOPSIN_ET_C100CapUSV,TOPSIN_ET_C300,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1356,2.1089,1.25,0.0936,0.1179,0.0244,5/5,"TOPSIN_ET_C100CapUSV=low, TOPSIN_ET_C300=high, TOPSIN_ET_lkg_CapFICM1=low","TOPSIN_ET_C100CapUSV=low, TOPSIN_ET_C300=high, TOPSIN_ET_lkg_CapFICM1=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0244."
TOPSIN_ET_C100CapUSV,TOPSIN_ET_CapFICM1_0,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1352,2.0976,1.759,0.0909,0.1291,0.0382,3/5,"TOPSIN_ET_C100CapUSV=low, TOPSIN_ET_CapFICM1_0=low, TOPSIN_ET_lkg_CapFICM1=low","TOPSIN_ET_C100CapUSV=low, TOPSIN_ET_CapFICM1_0=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0382 -- majority but not unanimous.
TOPSIN_ET_C100CapUSV,TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1333,2.1017,1.48,0.0944,0.1243,0.0299,4/5,"TOPSIN_ET_C100CapUSV=low, TOPSIN_ET_CapFICM1=high, TOPSIN_ET_lkg_CapFICM1=low","TOPSIN_ET_C100CapUSV=low, TOPSIN_ET_CapFICM1=high, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0299."
TOPSIN_ET_C100CapFICM1,TOPSIN_ET_CapFICM1_0,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1443,2.1118,1.517,0.0864,0.1191,0.0327,3/5,"TOPSIN_ET_C100CapFICM1=high, TOPSIN_ET_CapFICM1_0=low, TOPSIN_ET_lkg_CapFICM1=low","TOPSIN_ET_C100CapFICM1=low, TOPSIN_ET_CapFICM1_0=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0327 -- majority but not unanimous.
TOPSIN_ET_C100CapFICM1,TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1506,2.1281,1.046,0.0826,0.1041,0.0215,4/5,"TOPSIN_ET_C100CapFICM1=low, TOPSIN_ET_CapFICM1=high, TOPSIN_ET_lkg_CapFICM1=low","TOPSIN_ET_C100CapFICM1=low, TOPSIN_ET_CapFICM1=high, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0215."
TOPSIN_ET_C100CapFICM1,TOPSIN_ET_C100CapUSV,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1541,2.1142,1.849,0.0735,0.1144,0.0409,3/5,"TOPSIN_ET_C100CapFICM1=low, TOPSIN_ET_C100CapUSV=low, TOPSIN_ET_lkg_CapFICM1=low","TOPSIN_ET_C100CapFICM1=low, TOPSIN_ET_C100CapUSV=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0409 -- majority but not unanimous.
TOPSIN_ET_C100CapFICM1,TOPSIN_ET_C300,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1562,2.1362,0.929,0.079,0.0983,0.0193,4/5,"TOPSIN_ET_C100CapFICM1=low, TOPSIN_ET_C300=high, TOPSIN_ET_lkg_CapFICM1=low","TOPSIN_ET_C100CapFICM1=low, TOPSIN_ET_C300=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0193."
THIN_ET_lkg_100_at20V,TOPSIN_ET_CapPARCAP_0,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.0668,2.0565,0.501,0.1494,0.1602,0.0108,3/5,"THIN_ET_lkg_100_at20V=low, TOPSIN_ET_CapPARCAP_0=low, TOPSIN_ET_lkg_Cap3=high","THIN_ET_lkg_100_at20V=high, TOPSIN_ET_CapPARCAP_0=high, TOPSIN_ET_lkg_Cap3=high",MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0108 -- majority but not unanimous.
THIN_ET_lkg_100_at20V,TOPSIN_ET_Load_Pull_P.A.E_Last,TOPSIN_ET_lkg_Cap3,c_residual_conditional_structure,2.0629,2.0415,1.035,0.1574,0.1731,0.0158,4/5,"THIN_ET_lkg_100_at20V=low, TOPSIN_ET_Load_Pull_P.A.E_Last=low, TOPSIN_ET_lkg_Cap3=high","THIN_ET_lkg_100_at20V=high, TOPSIN_ET_Load_Pull_P.A.E_Last=low, TOPSIN_ET_lkg_Cap3=low",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0158."
MEASURE_ET_DC_RF2_MAG_26GHz,MEASURE_ET_DC_RF_K_W,MEASURE_ET_DC_Stress_Id_stress_before,b_tree_path_cooccurrence,2.1857,2.1735,0.557,0.0612,0.071,0.0098,4/5,"MEASURE_ET_DC_RF2_MAG_26GHz=high, MEASURE_ET_DC_RF_K_W=high, MEASURE_ET_DC_Stress_Id_stress_before=high","MEASURE_ET_DC_RF2_MAG_26GHz=low, MEASURE_ET_DC_RF_K_W=low, MEASURE_ET_DC_Stress_Id_stress_before=low",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0098."
MEASURE_ET_C300pf,TOPSIN_ET_CapFICM1_0,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1397,2.1065,1.553,0.0915,0.1242,0.0327,3/5,"MEASURE_ET_C300pf=low, TOPSIN_ET_CapFICM1_0=low, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C300pf=low, TOPSIN_ET_CapFICM1_0=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0327 -- majority but not unanimous.
MEASURE_ET_C300pf,TOPSIN_ET_C100CapUSV,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1494,2.1111,1.782,0.0814,0.1189,0.0375,3/5,"MEASURE_ET_C300pf=low, TOPSIN_ET_C100CapUSV=low, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C300pf=low, TOPSIN_ET_C100CapUSV=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0375 -- majority but not unanimous.
MEASURE_ET_C300pf,TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1333,2.1008,1.522,0.0989,0.1287,0.0298,4/5,"MEASURE_ET_C300pf=low, TOPSIN_ET_CapFICM1=high, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C300pf=low, TOPSIN_ET_CapFICM1=high, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0298."
MEASURE_ET_C300pf,TOPSIN_ET_C100CapFICM1,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.15,2.1127,1.736,0.0835,0.119,0.0354,4/5,"MEASURE_ET_C300pf=low, TOPSIN_ET_C100CapFICM1=low, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C300pf=low, TOPSIN_ET_C100CapFICM1=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0354."
MEASURE_ET_DC_RF2_S22dB_26GHz,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.1273,2.1107,0.78,0.1051,0.1211,0.016,3/5,"MEASURE_ET_DC_RF2_S22dB_26GHz=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","MEASURE_ET_DC_RF2_S22dB_26GHz=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0160 -- majority but not unanimous.
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_lkg_50_at20V,b_tree_path_cooccurrence,2.1124,2.1012,0.532,0.1225,0.1315,0.009,4/5,"MEASURE_ET_DC_RF_Min_S21_Freq_L1018=high, MEASURE_ET_DC_Stress_Id_stress_before=high, MEASURE_ET_lkg_50_at20V=low","MEASURE_ET_DC_RF_Min_S21_Freq_L1018=low, MEASURE_ET_DC_Stress_Id_stress_before=high, MEASURE_ET_lkg_50_at20V=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0090."
MEASURE_ET_Cap2pf,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,SIN_GATE_ET_lkg_5,c_residual_conditional_structure,2.103,2.0893,0.656,0.1252,0.1387,0.0135,3/5,"MEASURE_ET_Cap2pf=low, MEASURE_ET_DC_RF_Max_S11_Ph_L2180=low, SIN_GATE_ET_lkg_5=low","MEASURE_ET_Cap2pf=low, MEASURE_ET_DC_RF_Max_S11_Ph_L2180=high, SIN_GATE_ET_lkg_5=high",MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0135 -- majority but not unanimous.
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1439,2.1318,0.564,0.0916,0.103,0.0114,4/5,"MEASURE_ET_DC_RF2_S22dB_26GHz=low, MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_lkg_100_at20V=low","MEASURE_ET_DC_RF2_S22dB_26GHz=low, MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_lkg_100_at20V=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0114."
MEASURE_ET_C300pf,THIN_ET_C200_0,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1462,2.1177,1.329,0.0859,0.1138,0.0279,4/5,"MEASURE_ET_C300pf=low, THIN_ET_C200_0=low, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C300pf=low, THIN_ET_C200_0=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0279."
MEASURE_ET_C300FB_0,SIN_CAPACITOR_ThicknessGN1_SiN_Thickness,TOPSIN_ET_C100Cap1pf,b_tree_path_cooccurrence,2.2305,2.2102,0.912,0.0185,0.0379,0.0194,4/5,"MEASURE_ET_C300FB_0=high, SIN_CAPACITOR_ThicknessGN1_SiN_Thickness=high, TOPSIN_ET_C100Cap1pf=low","MEASURE_ET_C300FB_0=low, SIN_CAPACITOR_ThicknessGN1_SiN_Thickness=low, TOPSIN_ET_C100Cap1pf=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0194."
MEASURE_ET_C300pf,MEASURE_ET_lkg_50_at20V,TOPSIN_ET_lkg_CapFICM1,c_residual_conditional_structure,2.1524,2.1,2.432,0.0787,0.1279,0.0492,4/5,"MEASURE_ET_C300pf=low, MEASURE_ET_lkg_50_at20V=high, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C300pf=low, MEASURE_ET_lkg_50_at20V=high, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0492."
MEASURE_ET_C300FB_0,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.1202,2.1053,0.7,0.1066,0.1213,0.0147,3/5,"MEASURE_ET_C300FB_0=low, MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm=low, TOPSIN_ET_lkg_Cap3=low","MEASURE_ET_C300FB_0=low, MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm=high, TOPSIN_ET_lkg_Cap3=high",MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0147 -- majority but not unanimous.
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,THIN_ET_DC_RF_Vg_optt3,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1018,2.0785,1.11,0.1275,0.1469,0.0194,4/5,"MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_DC_RF_Vg_optt3=high, THIN_ET_lkg_100_at20V=low","MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_DC_RF_Vg_optt3=high, THIN_ET_lkg_100_at20V=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0194."
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,THIN_ET_Rcat_cn_3,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.0836,2.0586,1.199,0.1345,0.1587,0.0241,4/5,"MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_Rcat_cn_3=low, THIN_ET_lkg_100_at20V=low","MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_Rcat_cn_3=high, THIN_ET_lkg_100_at20V=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0241."
MEASURE_ET_C100USV_Cappf,TOPSIN_ET_CapFICM1_0,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1277,2.105,1.066,0.1027,0.1252,0.0225,4/5,"MEASURE_ET_C100USV_Cappf=high, TOPSIN_ET_CapFICM1_0=low, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C100USV_Cappf=low, TOPSIN_ET_CapFICM1_0=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0225."
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,THIN_ET_lkg_100_at20V,TOPSIN_ET_CapPARCAP_0,a_chaining_confirmed_pairs,2.0724,2.0574,0.724,0.1451,0.1598,0.0147,4/5,"MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_CapPARCAP_0=low","MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_CapPARCAP_0=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0147."
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,MEASURE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.0852,2.0702,0.719,0.1386,0.1528,0.0142,4/5,"MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, MEASURE_ET_Rc_an_ct2=low, THIN_ET_lkg_100_at20V=low","MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, MEASURE_ET_Rc_an_ct2=high, THIN_ET_lkg_100_at20V=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0142."
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,MEASURE_ET_Rc_OG142_GN,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.0996,2.0874,0.579,0.1263,0.1386,0.0122,3/5,"MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, MEASURE_ET_Rc_OG142_GN=low, THIN_ET_lkg_100_at20V=low","MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, MEASURE_ET_Rc_OG142_GN=high, THIN_ET_lkg_100_at20V=high",MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0122 -- majority but not unanimous.
MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_lkg_50_at20V,TOPSIN_ET_C100Cap2pf,b_tree_path_cooccurrence,2.1295,2.1163,0.621,0.1057,0.1174,0.0117,4/5,"MEASURE_ET_DC_Stress_Id_stress_before=high, MEASURE_ET_lkg_50_at20V=low, TOPSIN_ET_C100Cap2pf=low","MEASURE_ET_DC_Stress_Id_stress_before=high, MEASURE_ET_lkg_50_at20V=high, TOPSIN_ET_C100Cap2pf=low",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0117."
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,MEASURE_ET_Rcat_cn_2,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1218,2.1096,0.575,0.1111,0.1219,0.0108,4/5,"MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, MEASURE_ET_Rcat_cn_2=low, THIN_ET_lkg_100_at20V=low","MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, MEASURE_ET_Rcat_cn_2=low, THIN_ET_lkg_100_at20V=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0108."
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,MEASURE_ET_Rcat_cn_3,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1087,2.0966,0.571,0.1213,0.1326,0.0113,4/5,"MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, MEASURE_ET_Rcat_cn_3=high, THIN_ET_lkg_100_at20V=low","MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, MEASURE_ET_Rcat_cn_3=high, THIN_ET_lkg_100_at20V=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0113."
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_5,THIN_ET_lkg_5,a_chaining_confirmed_pairs,2.1382,2.1259,0.577,0.0916,0.1006,0.009,4/5,"MEASURE_ET_DC_SEC_Vp_1mA=high, MEASURE_ET_lkg_5=high, THIN_ET_lkg_5=low","MEASURE_ET_DC_SEC_Vp_1mA=low, MEASURE_ET_lkg_5=high, THIN_ET_lkg_5=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0090."
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_PAD_10,THIN_ET_lkg_5,a_chaining_confirmed_pairs,2.1372,2.1229,0.665,0.0945,0.1076,0.0131,4/5,"MEASURE_ET_DC_SEC_Vp_1mA=high, MEASURE_ET_lkg_PAD_10=low, THIN_ET_lkg_5=high","MEASURE_ET_DC_SEC_Vp_1mA=high, MEASURE_ET_lkg_PAD_10=high, THIN_ET_lkg_5=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0131."
MEASURE_ET_C100USV_Cappf,TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1431,2.1064,1.713,0.0918,0.1258,0.034,4/5,"MEASURE_ET_C100USV_Cappf=low, TOPSIN_ET_CapFICM1=high, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C100USV_Cappf=low, TOPSIN_ET_CapFICM1=high, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0340."
MEASURE_ET_C100USV_Cappf,TOPSIN_ET_C300,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1223,2.1094,0.609,0.1105,0.1227,0.0122,4/5,"MEASURE_ET_C100USV_Cappf=low, TOPSIN_ET_C300=high, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C100USV_Cappf=low, TOPSIN_ET_C300=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0122."
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,THIN_ET_Rc_TF_AB_2,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.0978,2.0861,0.561,0.1265,0.1383,0.0118,3/5,"MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_Rc_TF_AB_2=low, THIN_ET_lkg_100_at20V=low","MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_Rc_TF_AB_2=high, THIN_ET_lkg_100_at20V=high",MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0118 -- majority but not unanimous.
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.1561,2.1157,1.876,0.0832,0.1148,0.0316,4/5,"MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=high","MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=low",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0316."
MEASURE_ET_C100USV_Cappf,THIN_ET_C200_0,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1397,2.1106,1.361,0.0926,0.1217,0.0292,3/5,"MEASURE_ET_C100USV_Cappf=low, THIN_ET_C200_0=high, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C100USV_Cappf=low, THIN_ET_C200_0=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0292 -- majority but not unanimous.
MEASURE_ET_C100USV_Cappf,MEASURE_ET_C300pf,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1271,2.1007,1.241,0.1045,0.1297,0.0252,4/5,"MEASURE_ET_C100USV_Cappf=low, MEASURE_ET_C300pf=low, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C100USV_Cappf=low, MEASURE_ET_C300pf=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0252."
MEASURE_ET_C100USV_Cappf,TOPSIN_ET_C100CapUSV,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1226,2.0887,1.597,0.1047,0.1378,0.0331,4/5,"MEASURE_ET_C100USV_Cappf=low, TOPSIN_ET_C100CapUSV=high, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C100USV_Cappf=low, TOPSIN_ET_C100CapUSV=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0331."
MEASURE_ET_C100USV_Cappf,TOPSIN_ET_C100CapFICM1,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1326,2.1083,1.137,0.0992,0.1232,0.024,4/5,"MEASURE_ET_C100USV_Cappf=low, TOPSIN_ET_C100CapFICM1=high, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C100USV_Cappf=low, TOPSIN_ET_C100CapFICM1=low, TOPSIN_ET_lkg_CapFICM1=high",MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0240."
MEASURE_ET_Rc_an_ct2_OW_CR,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_SY07_10,c_residual_conditional_structure,2.0982,2.0772,1.002,0.1229,0.1362,0.0133,3/5,"MEASURE_ET_Rc_an_ct2_OW_CR=low, THIN_ET_TF_AB_2=low, TOPSIN_ET_lkg_SY07_10=low","MEASURE_ET_Rc_an_ct2_OW_CR=high, THIN_ET_TF_AB_2=high, TOPSIN_ET_lkg_SY07_10=high",MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0133 -- majority but not unanimous.
