feature_name,source_type,present_in_original_csv,source_columns,modeling_status,exclusion_reason,feature_family,correlation_cluster_id,correlation_cluster_size
MEASURE_ET_RF_Modeling_Vd_set,original raw CSV column (numeric predictor),yes,,included,,MEASURE,750,1
MEASURE_ET_RF_Modeling_Vd_stress,original raw CSV column (numeric predictor),yes,,included,,MEASURE,951,1
MEASURE_ET_RF_Modeling_Vg_gm_max_W,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_RF_Modeling_Vg_Stress,original raw CSV column (numeric predictor),yes,,included,,MEASURE,362,1
MEASURE_ET_RF_Modeling_Vp_01_W,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_RF_Modeling_Vp_1_W,original raw CSV column (numeric predictor),yes,,included,,MEASURE,557,199
MEASURE_ET_RF_Modeling_Vth,original raw CSV column (numeric predictor),yes,,included,,MEASURE,18,1
MESA_ET_Probe_Number,original raw CSV column (numeric predictor),yes,,included,,MESA,17,1
MESA_ET_Vbkd,original raw CSV column (numeric predictor),yes,,included,,MESA,617,1
OHMIC_ET_lkg_5,original raw CSV column (numeric predictor),yes,,included,,OHMIC,817,72
OHMIC_ET_OHMC,original raw CSV column (numeric predictor),yes,,included,,OHMIC,158,1
OHMIC_ET_OHMIC_conc,original raw CSV column (numeric predictor),yes,,included,,OHMIC,49,1
OHMIC_ET_Probe_Number,original raw CSV column (numeric predictor),yes,,included,,OHMIC,15,1
OHMIC_ET_R114,original raw CSV column (numeric predictor),yes,,included,,OHMIC,73,1
OHMIC_ET_R214,original raw CSV column (numeric predictor),yes,,included,,OHMIC,952,1
OHMIC_ET_R314,original raw CSV column (numeric predictor),yes,,included,,OHMIC,429,1
OHMIC_ET_Ran_con_1,original raw CSV column (numeric predictor),yes,,included,,OHMIC,689,1
OHMIC_ET_Ran_con_2,original raw CSV column (numeric predictor),yes,,included,,OHMIC,476,1
OHMIC_ET_Ran_con_3,original raw CSV column (numeric predictor),yes,,included,,OHMIC,625,1
OHMIC_ET_Rc_an_ct2,original raw CSV column (numeric predictor),yes,,included,,OHMIC,520,52
OHMIC_ET_Rc_OG142,original raw CSV column (numeric predictor),yes,,included,,OHMIC,520,52
OHMIC_ET_Rsh_an_ct2,original raw CSV column (numeric predictor),yes,,included,,OHMIC,527,1
OHMIC_ET_sh_GA142,original raw CSV column (numeric predictor),yes,,included,,OHMIC,928,1
SIN_ET_lkg_SY07_10,original raw CSV column (numeric predictor),yes,,included,,SIN,817,72
SIN_ET_lkg_SY8_80,original raw CSV column (numeric predictor),yes,,included,,SIN,817,72
SIN_ET_Probe_Number,original raw CSV column (numeric predictor),yes,,included,,SIN,89,1
SIN_ET_TR_1F,original raw CSV column (numeric predictor),yes,,included,,SIN,635,1
SIN_ET_DC_PIV_Drain_Lag_Idss,original raw CSV column (numeric predictor),yes,,included,,SIN,557,199
SIN_ET_DC_PIV_Drain_Lag_Imax,original raw CSV column (numeric predictor),yes,,included,,SIN,557,199
SIN_ET_DC_PIV_Gate_Lag_Idss,original raw CSV column (numeric predictor),yes,,included,,SIN,557,199
SIN_ET_DC_PIV_Gate_Lag_Imax,original raw CSV column (numeric predictor),yes,,included,,SIN,557,199
SIN_ET_DC_PIV_Idss_QP1,original raw CSV column (numeric predictor),yes,,included,,SIN,557,199
SIN_ET_DC_PIV_Idss_QP2,original raw CSV column (numeric predictor),yes,,included,,SIN,557,199
SIN_ET_DC_PIV_Idss_QP3,original raw CSV column (numeric predictor),yes,,included,,SIN,557,199
SIN_ET_DC_PIV_Imax_QP1,original raw CSV column (numeric predictor),yes,,included,,SIN,557,199
SIN_ET_DC_PIV_Imax_QP2,original raw CSV column (numeric predictor),yes,,included,,SIN,557,199
SIN_ET_DC_PIV_Imax_QP3,original raw CSV column (numeric predictor),yes,,included,,SIN,557,199
SIN_ET_DC_RF_Gm_0,original raw CSV column (numeric predictor),yes,,included,,SIN,557,199
SIN_ET_DC_RF_Gm_m0p2,original raw CSV column (numeric predictor),yes,,included,,SIN,557,199
SIN_ET_DC_RF_Gm_max,original raw CSV column (numeric predictor),yes,,included,,SIN,557,199
SIN_ET_DC_RF_Id_gm_max,original raw CSV column (numeric predictor),yes,,included,,SIN,557,199
SIN_ET_DC_RF_Ids_m0p2,original raw CSV column (numeric predictor),yes,,included,,SIN,721,1
SIN_ET_DC_RF_Idss,original raw CSV column (numeric predictor),yes,,included,,SIN,557,199
SIN_ET_DC_RF_Imax,original raw CSV column (numeric predictor),yes,,included,,SIN,557,199
SIN_ET_DC_RF_n_gd,original raw CSV column (numeric predictor),yes,,included,,SIN,593,1
SIN_ET_DC_RF_n_gs,original raw CSV column (numeric predictor),yes,,included,,SIN,403,1
SIN_ET_DC_RF_Vbgd_0p01,original raw CSV column (numeric predictor),yes,,included,,SIN,766,1
SIN_ET_DC_RF_Vbgd_0p1,original raw CSV column (numeric predictor),yes,,included,,SIN,789,1
SIN_ET_DC_RF_Vbgd1,original raw CSV column (numeric predictor),yes,,included,,SIN,773,1
SIN_ET_DC_RF_Vbgs_0p01,original raw CSV column (numeric predictor),yes,,included,,SIN,776,1
SIN_ET_DC_RF_Vbgs_0p1,original raw CSV column (numeric predictor),yes,,included,,SIN,786,1
SIN_ET_DC_RF_Vbgs1,original raw CSV column (numeric predictor),yes,,included,,SIN,787,1
SIN_ET_DC_RF_Vbin_gd,original raw CSV column (numeric predictor),yes,,included,,SIN,809,1
SIN_ET_DC_RF_Vbin_gs,original raw CSV column (numeric predictor),yes,,included,,SIN,796,1
SIN_ET_DC_RF_Vboff,original raw CSV column (numeric predictor),yes,,included,,SIN,741,1
SIN_ET_DC_RF_Vdg_max,original raw CSV column (numeric predictor),yes,,included,,SIN,547,1
SIN_ET_DC_RF_Vdg_max_0p1,original raw CSV column (numeric predictor),yes,,included,,SIN,923,1
SIN_ET_DC_RF_Vdg_max_0p1mA,original raw CSV column (numeric predictor),yes,,included,,SIN,343,1
SIN_ET_DC_RF_Vds_max,original raw CSV column (numeric predictor),yes,,included,,SIN,653,1
SIN_ET_DC_RF_Vds_max_0p1,original raw CSV column (numeric predictor),yes,,included,,SIN,69,1
SIN_ET_DC_RF_Vds_max_0p1mA,original raw CSV column (numeric predictor),yes,,included,,SIN,327,1
SIN_ET_DC_RF_Vg_gm_max,original raw CSV column (numeric predictor),yes,,included,,SIN,557,199
SIN_ET_DC_RF_Vg_max_Vd,original raw CSV column (numeric predictor),yes,,included,,SIN,331,1
SIN_ET_DC_RF_Vg_max_Vd_0p1,original raw CSV column (numeric predictor),yes,,included,,SIN,685,1
SIN_ET_DC_RF_Vg_max_Vd_0p1mA,original raw CSV column (numeric predictor),yes,,included,,SIN,234,1
SIN_ET_DC_RF_Vg_optt,original raw CSV column (numeric predictor),yes,,included,,SIN,729,1
SIN_ET_DC_RF_Vg_optt1,original raw CSV column (numeric predictor),yes,,included,,SIN,433,1
SIN_ET_DC_RF_Vg_optt2,original raw CSV column (numeric predictor),yes,,included,,SIN,13,1
SIN_ET_DC_RF_Vg_optt3,original raw CSV column (numeric predictor),yes,,included,,SIN,405,1
SIN_ET_DC_RF_Vp_01,original raw CSV column (numeric predictor),yes,,included,,SIN,557,199
SIN_ET_DC_RF_Vp_1,original raw CSV column (numeric predictor),yes,,included,,SIN,557,199
SIN_ET_DC_RF_Vt_gd,original raw CSV column (numeric predictor),yes,,included,,SIN,30,1
SIN_ET_DC_RF_Vt_gs,original raw CSV column (numeric predictor),yes,,included,,SIN,846,1
SIN_GATE_ET_I_5,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,917,1
SIN_GATE_ET_lkg_5,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,817,72
SIN_GATE_ET_lkg_SY07_10,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,817,72
SIN_GATE_ET_lkg_SY8_80,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,817,72
SIN_GATE_ET_OHMC,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,716,1
SIN_GATE_ET_OHMC_GN,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,863,1
SIN_GATE_ET_OHMIC_conc,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,956,1
SIN_GATE_ET_Probe_Number,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,27,1
SIN_GATE_ET_R114,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,871,1
SIN_GATE_ET_R214,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,633,1
SIN_GATE_ET_R314,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,461,1
SIN_GATE_ET_R414,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,654,1
SIN_GATE_ET_R514,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,378,1
SIN_GATE_ET_Ran_con_1,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,907,1
SIN_GATE_ET_Ran_con_2,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,958,1
SIN_GATE_ET_Ran_con_3,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,902,1
SIN_GATE_ET_Rc_an_ct2,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,520,52
SIN_GATE_ET_Rc_OG142_GN,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,520,52
SIN_GATE_ET_Rc_OG144,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,520,52
SIN_GATE_ET_RGAN1,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,8,1
SIN_GATE_ET_RGAN2,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,895,1
SIN_GATE_ET_RGAN3,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,848,1
SIN_GATE_ET_Rsh_an_ct2,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,538,1
SIN_GATE_ET_sh_GA142_GN,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,598,1
SIN_GATE_ET_sh_GA144,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,414,1
SIN_GATE_ET_TR_1F,original raw CSV column (numeric predictor),yes,,included,,SIN_GATE,468,1
TFRP_ET_Probe_Number,original raw CSV column (numeric predictor),yes,,included,,TFRP,81,1
TFRP_ET_Rc_TF_AB_2,original raw CSV column (numeric predictor),yes,,included,,TFRP,520,52
TFRP_ET_Rsh_TFR2,original raw CSV column (numeric predictor),yes,,included,,TFRP,510,1
TFRP_ET_TF_AB_1,original raw CSV column (numeric predictor),yes,,included,,TFRP,720,1
TFRP_ET_TF_AB_2,original raw CSV column (numeric predictor),yes,,included,,TFRP,861,1
TFRP_ET_TF_AB_3,original raw CSV column (numeric predictor),yes,,included,,TFRP,865,1
TFRP_ET_TFRP,original raw CSV column (numeric predictor),yes,,included,,TFRP,438,1
THIN_ET_C_AN_2,original raw CSV column (numeric predictor),yes,,included,,THIN,6,1
THIN_ET_C_AN_2_OW_CR,original raw CSV column (numeric predictor),yes,,included,,THIN,188,1
THIN_ET_C_CAT_2,original raw CSV column (numeric predictor),yes,,included,,THIN,900,1
THIN_ET_C_CAT_2_OW_ST,original raw CSV column (numeric predictor),yes,,included,,THIN,185,1
THIN_ET_C100,original raw CSV column (numeric predictor),yes,,included,,THIN,349,82
THIN_ET_C20,original raw CSV column (numeric predictor),yes,,included,,THIN,735,1
THIN_ET_C20_0,original raw CSV column (numeric predictor),yes,,included,,THIN,422,1
THIN_ET_C200,original raw CSV column (numeric predictor),yes,,included,,THIN,349,82
THIN_ET_C200_0,original raw CSV column (numeric predictor),yes,,included,,THIN,349,82
THIN_ET_C300,original raw CSV column (numeric predictor),yes,,included,,THIN,349,82
THIN_ET_C300_0,original raw CSV column (numeric predictor),yes,,included,,THIN,349,82
THIN_ET_Cap_C300,original raw CSV column (numeric predictor),yes,,included,,THIN,349,82
THIN_ET_Cap20,original raw CSV column (numeric predictor),yes,,included,,THIN,349,82
THIN_ET_Er,original raw CSV column (numeric predictor),yes,,included,,THIN,140,1
THIN_ET_F_AB,original raw CSV column (numeric predictor),yes,,included,,THIN,850,1
THIN_ET_HIRS,original raw CSV column (numeric predictor),yes,,included,,THIN,456,1
THIN_ET_i5021_1,original raw CSV column (numeric predictor),yes,,included,,THIN,231,1
THIN_ET_i5021_2,original raw CSV column (numeric predictor),yes,,included,,THIN,216,1
THIN_ET_i5021_3,original raw CSV column (numeric predictor),yes,,included,,THIN,674,1
THIN_ET_KLV_F_AB_4u,original raw CSV column (numeric predictor),yes,,included,,THIN,714,1
THIN_ET_lkg_10,original raw CSV column (numeric predictor),yes,,included,,THIN,817,72
THIN_ET_lkg_100_at20V,original raw CSV column (numeric predictor),yes,,included,,THIN,817,72
THIN_ET_lkg_5,original raw CSV column (numeric predictor),yes,,included,,THIN,817,72
THIN_ET_lkg_50_at20V,original raw CSV column (numeric predictor),yes,,included,,THIN,817,72
THIN_ET_lkg_70_at20V,original raw CSV column (numeric predictor),yes,,included,,THIN,817,72
THIN_ET_lkg_C20,original raw CSV column (numeric predictor),yes,,included,,THIN,817,72
THIN_ET_lkg_C200,original raw CSV column (numeric predictor),yes,,included,,THIN,817,72
THIN_ET_lkg_C300,original raw CSV column (numeric predictor),yes,,included,,THIN,817,72
THIN_ET_lkg_PAD_10,original raw CSV column (numeric predictor),yes,,included,,THIN,817,72
THIN_ET_OHMC,original raw CSV column (numeric predictor),yes,,included,,THIN,24,1
THIN_ET_Probe_Number,original raw CSV column (numeric predictor),yes,,included,,THIN,44,1
THIN_ET_R_400_HOR,original raw CSV column (numeric predictor),yes,,included,,THIN,875,1
THIN_ET_R_400_VER,original raw CSV column (numeric predictor),yes,,included,,THIN,971,1
THIN_ET_R_4000_HOR,original raw CSV column (numeric predictor),yes,,included,,THIN,91,1
THIN_ET_R_4000_VER,original raw CSV column (numeric predictor),yes,,included,,THIN,480,1
THIN_ET_R_660_HOR,original raw CSV column (numeric predictor),yes,,included,,THIN,424,1
THIN_ET_R_660_VER,original raw CSV column (numeric predictor),yes,,included,,THIN,932,1
THIN_ET_R_f_hr_1,original raw CSV column (numeric predictor),yes,,included,,THIN,949,1
THIN_ET_R_f_hr_2,original raw CSV column (numeric predictor),yes,,included,,THIN,704,1
THIN_ET_R_f_hr_3,original raw CSV column (numeric predictor),yes,,included,,THIN,968,1
THIN_ET_R_f_tn_1,original raw CSV column (numeric predictor),yes,,included,,THIN,112,1
THIN_ET_R_f_tn_2,original raw CSV column (numeric predictor),yes,,included,,THIN,849,1
THIN_ET_R_f_tn_3,original raw CSV column (numeric predictor),yes,,included,,THIN,619,1
THIN_ET_R114,original raw CSV column (numeric predictor),yes,,included,,THIN,163,1
THIN_ET_R214,original raw CSV column (numeric predictor),yes,,included,,THIN,896,1
THIN_ET_R314,original raw CSV column (numeric predictor),yes,,included,,THIN,219,1
THIN_ET_Ran_con_1,original raw CSV column (numeric predictor),yes,,included,,THIN,680,1
THIN_ET_Ran_con_1_OW_CR,original raw CSV column (numeric predictor),yes,,included,,THIN,409,1
THIN_ET_Ran_con_2,original raw CSV column (numeric predictor),yes,,included,,THIN,648,1
THIN_ET_Ran_con_2_OW_CR,original raw CSV column (numeric predictor),yes,,included,,THIN,650,1
THIN_ET_Ran_con_3,original raw CSV column (numeric predictor),yes,,included,,THIN,888,1
THIN_ET_Ran_con_3_OW_CR,original raw CSV column (numeric predictor),yes,,included,,THIN,670,1
THIN_ET_Rc_an_ct2,original raw CSV column (numeric predictor),yes,,included,,THIN,520,52
THIN_ET_Rc_an_ct2_OW_CR,original raw CSV column (numeric predictor),yes,,included,,THIN,520,52
THIN_ET_Rc_cat_ct2,original raw CSV column (numeric predictor),yes,,included,,THIN,520,52
THIN_ET_Rc_cat_ct2_OW_ST,original raw CSV column (numeric predictor),yes,,included,,THIN,520,52
THIN_ET_Rc_F_AB_2,original raw CSV column (numeric predictor),yes,,included,,THIN,520,52
THIN_ET_Rc_f_hr_23,original raw CSV column (numeric predictor),yes,,included,,THIN,520,52
THIN_ET_Rc_f_tn_23,original raw CSV column (numeric predictor),yes,,included,,THIN,521,1
THIN_ET_Rc_OG142,original raw CSV column (numeric predictor),yes,,included,,THIN,518,4
THIN_ET_Rc_TF_AB_2,original raw CSV column (numeric predictor),yes,,included,,THIN,520,52
THIN_ET_Rcat_cn_1,original raw CSV column (numeric predictor),yes,,included,,THIN,520,52
THIN_ET_Rcat_cn_1_OW_ST,original raw CSV column (numeric predictor),yes,,included,,THIN,517,2
THIN_ET_Rcat_cn_2,original raw CSV column (numeric predictor),yes,,included,,THIN,518,4
THIN_ET_Rcat_cn_2_OW_ST,original raw CSV column (numeric predictor),yes,,included,,THIN,520,52
THIN_ET_Rcat_cn_3,original raw CSV column (numeric predictor),yes,,included,,THIN,518,4
THIN_ET_Rcat_cn_3_OW_ST,original raw CSV column (numeric predictor),yes,,included,,THIN,520,52
THIN_ET_Rsh_an_ct2,original raw CSV column (numeric predictor),yes,,included,,THIN,533,1
THIN_ET_Rsh_an_ct2_OW_CR,original raw CSV column (numeric predictor),yes,,included,,THIN,535,1
THIN_ET_Rsh_cat_c2,original raw CSV column (numeric predictor),yes,,included,,THIN,528,1
THIN_ET_Rsh_cat_c2_OW_ST,original raw CSV column (numeric predictor),yes,,included,,THIN,524,1
THIN_ET_Rsh_F_AB_2,original raw CSV column (numeric predictor),yes,,included,,THIN,536,1
THIN_ET_Rsh_TF_AB2,original raw CSV column (numeric predictor),yes,,included,,THIN,516,1
THIN_ET_sh_f_hr_23,original raw CSV column (numeric predictor),yes,,included,,THIN,128,1
THIN_ET_sh_f_tn_23,original raw CSV column (numeric predictor),yes,,included,,THIN,554,1
THIN_ET_sh_GA142,original raw CSV column (numeric predictor),yes,,included,,THIN,462,1
THIN_ET_TANR,original raw CSV column (numeric predictor),yes,,included,,THIN,371,1
THIN_ET_TF_AB_1,original raw CSV column (numeric predictor),yes,,included,,THIN,43,1
THIN_ET_TF_AB_2,original raw CSV column (numeric predictor),yes,,included,,THIN,94,1
THIN_ET_TF_AB_3,original raw CSV column (numeric predictor),yes,,included,,THIN,911,1
THIN_ET_TFR_AB,original raw CSV column (numeric predictor),yes,,included,,THIN,589,1
THIN_ET_Vbpin,original raw CSV column (numeric predictor),yes,,included,,THIN,813,1
THIN_ET_Vbpin_D60,original raw CSV column (numeric predictor),yes,,included,,THIN,798,1
THIN_ET_Vk,original raw CSV column (numeric predictor),yes,,included,,THIN,915,1
THIN_ET_DC_RD_Vboff,original raw CSV column (numeric predictor),yes,,included,,THIN,847,1
THIN_ET_DC_RF_Gm_0,original raw CSV column (numeric predictor),yes,,included,,THIN,557,199
THIN_ET_DC_RF_Gm_m0p2,original raw CSV column (numeric predictor),yes,,included,,THIN,557,199
THIN_ET_DC_RF_Gm_max,original raw CSV column (numeric predictor),yes,,included,,THIN,557,199
THIN_ET_DC_RF_Id_gm_max,original raw CSV column (numeric predictor),yes,,included,,THIN,557,199
THIN_ET_DC_RF_Ids_m0p2,original raw CSV column (numeric predictor),yes,,included,,THIN,853,1
THIN_ET_DC_RF_Idss,original raw CSV column (numeric predictor),yes,,included,,THIN,557,199
THIN_ET_DC_RF_Imax,original raw CSV column (numeric predictor),yes,,included,,THIN,557,199
THIN_ET_DC_RF_n_gd,original raw CSV column (numeric predictor),yes,,included,,THIN,707,1
THIN_ET_DC_RF_n_gs,original raw CSV column (numeric predictor),yes,,included,,THIN,868,1
THIN_ET_DC_RF_Vbgd_0p01,original raw CSV column (numeric predictor),yes,,included,,THIN,774,1
THIN_ET_DC_RF_Vbgd_0p1,original raw CSV column (numeric predictor),yes,,included,,THIN,810,1
THIN_ET_DC_RF_Vbgd1,original raw CSV column (numeric predictor),yes,,included,,THIN,807,1
THIN_ET_DC_RF_Vbgs_0p01,original raw CSV column (numeric predictor),yes,,included,,THIN,812,1
THIN_ET_DC_RF_Vbgs_0p1,original raw CSV column (numeric predictor),yes,,included,,THIN,758,1
THIN_ET_DC_RF_Vbgs1,original raw CSV column (numeric predictor),yes,,included,,THIN,822,1
THIN_ET_DC_RF_Vbin_gd,original raw CSV column (numeric predictor),yes,,included,,THIN,806,1
THIN_ET_DC_RF_Vbin_gs,original raw CSV column (numeric predictor),yes,,included,,THIN,808,1
THIN_ET_DC_RF_Vdg_max,original raw CSV column (numeric predictor),yes,,included,,THIN,416,1
THIN_ET_DC_RF_Vdg_max_0p1mA,original raw CSV column (numeric predictor),yes,,included,,THIN,85,1
THIN_ET_DC_RF_Vds_max,original raw CSV column (numeric predictor),yes,,included,,THIN,965,1
THIN_ET_DC_RF_Vds_max_0p1mA,original raw CSV column (numeric predictor),yes,,included,,THIN,100,1
THIN_ET_DC_RF_Vg_gm_max,original raw CSV column (numeric predictor),yes,,included,,THIN,557,199
THIN_ET_DC_RF_Vg_max_Vd,original raw CSV column (numeric predictor),yes,,included,,THIN,671,1
THIN_ET_DC_RF_Vg_max_Vd_0p1mA,original raw CSV column (numeric predictor),yes,,included,,THIN,722,1
THIN_ET_DC_RF_Vg_optt1,original raw CSV column (numeric predictor),yes,,included,,THIN,420,1
THIN_ET_DC_RF_Vg_optt2,original raw CSV column (numeric predictor),yes,,included,,THIN,882,1
THIN_ET_DC_RF_Vg_optt3,original raw CSV column (numeric predictor),yes,,included,,THIN,83,1
THIN_ET_DC_RF_Vp_01,original raw CSV column (numeric predictor),yes,,included,,THIN,557,199
THIN_ET_DC_RF_Vp_1,original raw CSV column (numeric predictor),yes,,included,,THIN,557,199
THIN_ET_DC_RF_Vt_gd,original raw CSV column (numeric predictor),yes,,included,,THIN,664,1
THIN_ET_DC_RF_Vt_gs,original raw CSV column (numeric predictor),yes,,included,,THIN,839,1
TOPSIN_ET_ABVIETCH,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,733,1
TOPSIN_ET_C100C175pf,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_C100C300pf,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_C100C385pf,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_C100C450pf,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_C100C500pf,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_C100Cap1pf,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_C100Cap2pf,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_C100Cap3pf,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_C100CapFICBRGM,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,557,199
TOPSIN_ET_C100CapFICM1,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_C100CapM1BRGM,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,557,199
TOPSIN_ET_C100CapPARCAP,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,520,52
TOPSIN_ET_C100CapUSV,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_C175pf,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,217,1
TOPSIN_ET_C175pf_0,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,828,1
TOPSIN_ET_C300,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_C300_0,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_C300pf,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_C300pf_0,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_C385pf,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,851,1
TOPSIN_ET_C385pf_0,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,974,1
TOPSIN_ET_C450pf,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,552,1
TOPSIN_ET_C450pf_0,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,891,1
TOPSIN_ET_C500pf,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,64,1
TOPSIN_ET_C500pf_0,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,495,1
TOPSIN_ET_Cap_C300,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_Cap_USV,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_Cap1pf,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_Cap1pf_0,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_Cap2pf,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_Cap2pf_0,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_Cap3pf,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_Cap3pf_0,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_CapFICBRGM,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,557,199
TOPSIN_ET_CapFICBRGM_0,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,557,199
TOPSIN_ET_CapFICM1,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_CapFICM1_0,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_CapM1BRGM,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,557,199
TOPSIN_ET_CapM1BRGM_0,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,557,199
TOPSIN_ET_CapPARCAP,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,520,52
TOPSIN_ET_CapPARCAP_0,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,520,52
TOPSIN_ET_CapUSV_0,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,349,82
TOPSIN_ET_G_per_6K,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,987,1
TOPSIN_ET_G2_per_6K,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,644,1
TOPSIN_ET_Gate_res,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,248,1
TOPSIN_ET_GC_Igs,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,870,1
TOPSIN_ET_Gm_m2,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,557,199
TOPSIN_ET_Gm_max,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,557,199
TOPSIN_ET_HIRS,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,101,1
TOPSIN_ET_I_5,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,542,1
TOPSIN_ET_Ids_m2,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,596,1
TOPSIN_ET_KLV_F_AB_4u,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,586,1
TOPSIN_ET_KLV_F_AB_4u_FEMSO,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,411,1
TOPSIN_ET_KLV_F_M1_4u,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,662,1
TOPSIN_ET_lkg_5,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,817,72
TOPSIN_ET_lkg_C175pf,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,817,72
TOPSIN_ET_lkg_C300,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,817,72
TOPSIN_ET_lkg_C300pf,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,817,72
TOPSIN_ET_lkg_C385pf,original raw CSV column (numeric predictor),yes,,included,,TOPSIN,817,72
