parameter_A,parameter_B,parameter_C,contrast_3way,max_2way_contrast_in_cube,adds_beyond_lower_order,"high_yield_region_(A,B,C)_bins",high_yield_mean,"low_yield_region_(A,B,C)_bins",low_yield_mean,min_cell_count,fold_sign_reproducibility,evidence_label,reason
FIC_ET_Probe_Number,MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.1981,0.0478,True,"(1, 0, 0)",93.666,"(0, 1, 1)",90.539,89.0,5/5,STRONG,
FIC_ET_Probe_Number,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.19,0.245,False,"(1, 0, 0)",93.587,"(0, 1, 1)",89.797,93.0,4/5,MODERATE,
FIC_ET_Probe_Number,THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0261,0.1148,False,"(1, 0, 0)",93.323,"(0, 0, 1)",90.945,109.0,3/5,MODERATE,
FIC_ET_Probe_Number,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,-0.2041,0.1625,True,"(1, 0, 1)",93.416,"(0, 1, 1)",90.915,107.0,4/5,STRONG,
FIC_ET_Rc_OG142,MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0556,0.4471,False,"(0, 0, 0)",92.924,"(1, 1, 1)",90.156,125.0,1/5,WEAK,
FIC_ET_Rc_OG142,MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0952,0.1622,False,"(0, 0, 0)",93.418,"(1, 1, 1)",90.35,121.0,4/5,MODERATE,
FIC_ET_Rc_OG142,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0665,0.4017,False,"(1, 0, 0)",93.862,"(1, 1, 1)",90.269,36.0,0/0,INCONCLUSIVE,
FIC_ET_Rc_OG142,THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.1351,0.1942,False,"(0, 1, 0)",92.95,"(1, 0, 1)",90.676,119.0,3/5,MODERATE,
FIC_ET_Rc_OG142,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,-0.2053,0.174,True,"(0, 0, 0)",93.456,"(1, 1, 1)",90.32,110.0,5/5,STRONG,
FIC_ET_Rc_f_hr_23,MEASURE_ET_DC_RF2_S22dB_26GHz,THIN_ET_lkg_100_at20V,0.3587,0.1149,True,"(0, 1, 0)",93.154,"(1, 0, 1)",90.384,115.0,5/5,STRONG,
FIC_ET_Rc_f_hr_23,MEASURE_ET_Rc_OG142_GN,THIN_ET_lkg_100_at20V,-0.2098,0.3777,False,"(1, 0, 0)",93.289,"(1, 1, 1)",90.255,69.0,0/0,INCONCLUSIVE,
FIC_ET_Rc_f_hr_23,MEASURE_ET_Rcat_cn_2,THIN_ET_lkg_100_at20V,-0.0988,0.3106,False,"(1, 0, 0)",93.127,"(1, 0, 1)",90.675,45.0,0/0,INCONCLUSIVE,
FIC_ET_Rc_f_hr_23,SIN_GATE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,0.0191,0.189,False,"(1, 0, 0)",93.176,"(1, 1, 1)",90.276,43.0,0/0,INCONCLUSIVE,
FIC_ET_Rc_f_hr_23,THIN_ET_Rcat_cn_3,TOPSIN_ET_lkg_C450pf,0.0123,0.2757,False,"(0, 1, 0)",93.024,"(1, 1, 1)",90.433,66.0,0/1,INCONCLUSIVE,
FIC_ET_Rc_f_tn_23,MEASURE_ET_DC_RF2_S22dB_26GHz,THIN_ET_lkg_100_at20V,0.4267,0.2922,True,"(0, 1, 0)",93.303,"(1, 0, 1)",89.89,95.0,5/5,STRONG,
FIC_ET_Rc_f_tn_23,MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0426,0.4137,False,"(0, 0, 0)",93.017,"(1, 1, 1)",89.885,122.0,4/5,MODERATE,
FIC_ET_Rc_f_tn_23,MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1811,0.3449,False,"(0, 0, 0)",93.155,"(1, 1, 1)",89.537,129.0,5/5,MODERATE,
FIC_ET_Rc_f_tn_23,MEASURE_ET_Rc_OG142_GN,THIN_ET_lkg_100_at20V,-0.3599,0.5123,False,"(1, 0, 0)",93.325,"(1, 1, 1)",89.742,57.0,0/0,INCONCLUSIVE,
FIC_ET_Rc_f_tn_23,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.3039,0.5898,False,"(1, 0, 0)",93.571,"(1, 1, 1)",89.709,56.0,0/0,INCONCLUSIVE,
FIC_ET_Rc_f_tn_23,MEASURE_ET_Rcat_cn_2,THIN_ET_lkg_100_at20V,0.0355,0.5073,False,"(0, 1, 0)",93.758,"(1, 1, 1)",90.108,49.0,0/0,INCONCLUSIVE,
FIC_ET_Rc_f_tn_23,SIN_GATE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,0.412,0.2724,True,"(0, 1, 0)",94.043,"(1, 1, 1)",90.203,46.0,0/0,INCONCLUSIVE,
FIC_ET_Rc_f_tn_23,THIN_ET_Rcat_cn_3,TOPSIN_ET_lkg_C450pf,-0.0498,0.5453,False,"(0, 1, 0)",93.557,"(1, 1, 1)",89.882,60.0,1/1,WEAK,
FIC_ET_Rc_f_tn_23,THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.163,0.3384,False,"(0, 1, 0)",93.104,"(1, 1, 1)",90.344,118.0,3/5,MODERATE,
FIC_ET_Rc_f_tn_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,-0.0873,0.3095,False,"(0, 0, 0)",93.474,"(1, 1, 1)",90.344,82.0,3/3,MODERATE,
FIC_ET_lkg_SY8_80,SIN_GATE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,-0.1622,0.2261,False,"(1, 0, 0)",93.342,"(1, 1, 1)",90.411,30.0,0/0,INCONCLUSIVE,
MEASURE_ET_C100C175pf,MEASURE_ET_DC_RF2_S22dB_26GHz,SIN_GATE_ET_lkg_SY8_80,-0.2079,0.2488,False,"(0, 0, 0)",93.219,"(0, 0, 1)",90.919,116.0,5/5,MODERATE,
MEASURE_ET_C100C175pf,MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.2117,0.4855,False,"(0, 1, 0)",93.081,"(0, 1, 1)",89.661,130.0,5/5,MODERATE,
MEASURE_ET_C100C175pf,MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.3471,0.3537,False,"(0, 0, 0)",93.247,"(0, 1, 1)",89.738,120.0,5/5,MODERATE,
MEASURE_ET_C100C175pf,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.1794,0.4194,False,"(0, 0, 0)",93.38,"(0, 1, 1)",89.907,80.0,3/4,MODERATE,
MEASURE_ET_C100C175pf,THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0476,0.2441,False,"(0, 0, 0)",93.011,"(0, 1, 1)",90.819,105.0,2/3,WEAK,
MEASURE_ET_C100C175pf,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,-0.2373,0.2455,False,"(0, 0, 0)",92.972,"(0, 1, 0)",90.701,102.0,3/5,MODERATE,
MEASURE_ET_C100CapPARCAP,MEASURE_ET_DC_RF2_S22dB_26GHz,THIN_ET_lkg_100_at20V,0.0404,0.0898,False,"(0, 0, 0)",93.311,"(1, 1, 1)",90.649,99.0,5/5,MODERATE,
MEASURE_ET_C100CapPARCAP,MEASURE_ET_DC_RF_S11ang_10GHz,SIN_GATE_ET_lkg_SY8_80,-0.2784,0.3483,False,"(0, 0, 0)",93.287,"(1, 1, 1)",89.85,124.0,5/5,MODERATE,
MEASURE_ET_C100CapPARCAP,MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1197,0.4302,False,"(0, 0, 0)",93.371,"(1, 1, 1)",90.005,107.0,4/5,MODERATE,
MEASURE_ET_C100CapPARCAP,MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1795,0.1258,True,"(0, 0, 0)",93.583,"(1, 1, 1)",89.882,121.0,4/5,STRONG,
MEASURE_ET_C100CapPARCAP,MEASURE_ET_Rc_OG142_GN,THIN_ET_lkg_100_at20V,-0.1135,0.2261,False,"(0, 0, 0)",93.351,"(1, 1, 1)",90.481,55.0,2/2,WEAK,
MEASURE_ET_C100CapPARCAP,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.066,0.3395,False,"(0, 1, 0)",93.343,"(1, 1, 1)",90.004,67.0,1/1,WEAK,
MEASURE_ET_C100CapPARCAP,MEASURE_ET_Rcat_cn_2,THIN_ET_lkg_100_at20V,-0.0934,0.2516,False,"(0, 1, 0)",93.272,"(1, 0, 1)",90.478,54.0,0/0,INCONCLUSIVE,
MEASURE_ET_C100CapPARCAP,SIN_GATE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,-0.1389,0.3195,False,"(0, 1, 0)",93.373,"(1, 1, 1)",90.199,71.0,1/1,WEAK,
MEASURE_ET_C100CapPARCAP,SIN_GATE_ET_lkg_SY8_80,THIN_ET_Rcat_cn_3,-0.1087,0.266,False,"(0, 0, 1)",93.278,"(1, 1, 1)",90.358,69.0,0/0,INCONCLUSIVE,
MEASURE_ET_C100CapPARCAP,THIN_ET_Rcat_cn_3,TOPSIN_ET_lkg_C450pf,-0.0768,0.32,False,"(0, 1, 0)",93.368,"(1, 1, 1)",90.287,71.0,0/1,INCONCLUSIVE,
MEASURE_ET_C100CapPARCAP,THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0288,0.127,False,"(0, 1, 0)",93.183,"(1, 1, 1)",90.413,117.0,1/3,WEAK,
MEASURE_ET_C100CapPARCAP,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,-0.1453,0.1282,True,"(0, 0, 0)",93.7,"(1, 1, 1)",90.18,95.0,3/4,MODERATE,
MEASURE_ET_C300M1B_0,MEASURE_ET_DC_RF2_S22dB_26GHz,THIN_ET_lkg_100_at20V,-0.366,0.2835,True,"(0, 0, 0)",93.373,"(0, 0, 1)",90.354,114.0,5/5,STRONG,
MEASURE_ET_C300M1B_0,MEASURE_ET_Rc_OG142_GN,THIN_ET_lkg_100_at20V,0.4152,0.4254,False,"(0, 0, 0)",93.435,"(0, 1, 1)",89.95,89.0,4/4,MODERATE,
MEASURE_ET_C300M1B_0,MEASURE_ET_Rcat_cn_2,THIN_ET_lkg_100_at20V,0.3727,0.3302,True,"(0, 0, 0)",93.225,"(0, 1, 1)",90.226,107.0,5/5,STRONG,
MEASURE_ET_C300M1B_0,SIN_GATE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,0.3578,0.2925,True,"(0, 0, 0)",93.267,"(0, 1, 1)",89.63,111.0,4/4,STRONG,
MEASURE_ET_C300pf,MEASURE_ET_DC_RF2_S22dB_26GHz,THIN_ET_lkg_100_at20V,-0.2674,0.428,False,"(0, 0, 0)",93.409,"(0, 0, 1)",90.465,106.0,5/5,MODERATE,
MEASURE_ET_C300pf,MEASURE_ET_Rc_OG142_GN,THIN_ET_lkg_100_at20V,0.3768,0.4073,False,"(0, 0, 0)",93.472,"(0, 1, 1)",89.925,101.0,3/3,MODERATE,
MEASURE_ET_C300pf,MEASURE_ET_Rcat_cn_2,THIN_ET_lkg_100_at20V,0.4607,0.4712,False,"(0, 0, 0)",93.207,"(0, 1, 1)",90.068,120.0,5/5,MODERATE,
MEASURE_ET_C300pf,SIN_GATE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,0.4083,0.4217,False,"(0, 0, 0)",93.235,"(0, 1, 1)",89.68,116.0,5/5,MODERATE,
MEASURE_ET_CapPARCAP,MEASURE_ET_DC_RF2_S22dB_26GHz,THIN_ET_lkg_100_at20V,0.2218,0.1045,True,"(0, 1, 0)",93.39,"(1, 0, 1)",90.711,129.0,4/5,STRONG,
MEASURE_ET_CapPARCAP,MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0475,0.4417,False,"(0, 1, 0)",92.903,"(1, 1, 1)",89.964,113.0,1/5,WEAK,
MEASURE_ET_CapPARCAP,MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.205,0.2129,False,"(0, 0, 0)",93.316,"(1, 1, 1)",90.11,127.0,5/5,MODERATE,
MEASURE_ET_CapPARCAP,MEASURE_ET_Rc_OG142_GN,THIN_ET_lkg_100_at20V,-0.5009,0.517,False,"(0, 0, 0)",93.319,"(1, 1, 1)",90.252,52.0,0/0,INCONCLUSIVE,
MEASURE_ET_CapPARCAP,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.196,0.6307,False,"(1, 0, 0)",93.984,"(1, 1, 1)",89.96,38.0,0/0,INCONCLUSIVE,
MEASURE_ET_CapPARCAP,MEASURE_ET_Rcat_cn_2,THIN_ET_lkg_100_at20V,-0.1359,0.3812,False,"(0, 1, 0)",93.723,"(1, 1, 1)",90.651,33.0,0/0,INCONCLUSIVE,
MEASURE_ET_CapPARCAP,SIN_GATE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,-0.0009,0.299,False,"(0, 1, 0)",93.548,"(1, 1, 1)",90.288,57.0,0/0,INCONCLUSIVE,
MEASURE_ET_CapPARCAP,THIN_ET_Rcat_cn_3,TOPSIN_ET_lkg_C450pf,-0.0892,0.4177,False,"(0, 1, 0)",93.451,"(1, 1, 1)",90.167,69.0,0/0,INCONCLUSIVE,
MEASURE_ET_CapPARCAP,THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0727,0.2125,False,"(0, 1, 0)",92.898,"(1, 0, 1)",90.697,124.0,3/5,MODERATE,
MEASURE_ET_CapPARCAP,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,-0.2005,0.1966,True,"(0, 0, 0)",93.414,"(1, 1, 1)",90.444,131.0,5/5,STRONG,
MEASURE_ET_CapPARCAP_0,MEASURE_ET_DC_RF2_S22dB_26GHz,THIN_ET_lkg_100_at20V,0.4331,0.4469,False,"(0, 1, 0)",93.115,"(1, 0, 1)",89.847,105.0,5/5,MODERATE,
MEASURE_ET_CapPARCAP_0,MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0975,0.457,False,"(0, 1, 0)",93.101,"(1, 1, 1)",88.957,120.0,4/5,MODERATE,
MEASURE_ET_CapPARCAP_0,MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0142,0.4978,False,"(0, 0, 0)",93.267,"(1, 1, 1)",89.668,117.0,3/5,MODERATE,
MEASURE_ET_CapPARCAP_0,MEASURE_ET_Rc_OG142_GN,THIN_ET_lkg_100_at20V,-0.2994,0.5614,False,"(0, 1, 1)",93.319,"(1, 1, 1)",89.871,69.0,1/1,WEAK,
MEASURE_ET_CapPARCAP_0,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1378,0.5316,False,"(1, 0, 0)",93.122,"(1, 1, 1)",89.55,71.0,2/2,WEAK,
MEASURE_ET_CapPARCAP_0,MEASURE_ET_Rcat_cn_2,THIN_ET_lkg_100_at20V,0.056,0.6801,False,"(0, 1, 1)",93.388,"(1, 0, 1)",89.102,61.0,0/0,INCONCLUSIVE,
MEASURE_ET_CapPARCAP_0,SIN_GATE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,0.1124,0.4488,False,"(1, 0, 0)",93.178,"(1, 1, 1)",90.002,70.0,0/0,INCONCLUSIVE,
MEASURE_ET_CapPARCAP_0,THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.2026,0.4968,False,"(0, 1, 0)",93.073,"(1, 0, 1)",89.96,133.0,4/5,MODERATE,
MEASURE_ET_CapPARCAP_0,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,0.1488,0.4649,False,"(0, 0, 0)",93.116,"(1, 1, 0)",89.897,94.0,3/5,MODERATE,
MEASURE_ET_CapUSV,MEASURE_ET_DC_RF2_S22dB_26GHz,THIN_ET_lkg_100_at20V,-0.2393,0.1331,True,"(0, 0, 0)",93.418,"(1, 1, 1)",91.03,122.0,5/5,STRONG,
MEASURE_ET_CapUSV,MEASURE_ET_Rc_OG142_GN,THIN_ET_lkg_100_at20V,0.0667,0.0556,True,"(0, 0, 0)",93.406,"(1, 1, 1)",90.503,105.0,3/4,MODERATE,
MEASURE_ET_CapUSV,MEASURE_ET_Rcat_cn_2,THIN_ET_lkg_100_at20V,0.1266,0.0999,True,"(0, 0, 0)",93.204,"(1, 0, 1)",91.038,116.0,5/5,STRONG,
MEASURE_ET_CapUSV,SIN_GATE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,0.1298,0.1843,False,"(0, 0, 0)",93.24,"(1, 1, 1)",90.478,128.0,4/5,MODERATE,
MEASURE_ET_DC_Big_S11ang_10GHz,MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.2909,0.4799,False,"(0, 1, 0)",93.117,"(1, 1, 1)",89.319,131.0,4/5,MODERATE,
MEASURE_ET_DC_Big_S11ang_10GHz,MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.145,0.4598,False,"(1, 0, 0)",93.214,"(1, 1, 1)",90.361,128.0,3/5,MODERATE,
MEASURE_ET_DC_Big_S11ang_10GHz,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0165,0.3465,False,"(1, 0, 0)",93.172,"(1, 1, 1)",89.601,92.0,3/5,MODERATE,
MEASURE_ET_DC_Big_S11ang_10GHz,THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0358,0.2153,False,"(0, 1, 0)",93.109,"(1, 1, 1)",90.95,103.0,4/5,MODERATE,
MEASURE_ET_DC_Big_S11ang_10GHz,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,0.0483,0.3484,False,"(0, 0, 0)",93.469,"(0, 1, 1)",90.687,124.0,2/5,WEAK,
MEASURE_ET_DC_Big_S11dB_10GHz,MEASURE_ET_DC_RF2_S22dB_26GHz,THIN_ET_lkg_100_at20V,0.106,0.1733,False,"(1, 0, 0)",93.299,"(0, 0, 1)",90.794,118.0,3/5,MODERATE,
MEASURE_ET_DC_Big_S11dB_10GHz,MEASURE_ET_Rc_OG142_GN,THIN_ET_lkg_100_at20V,0.0033,0.0575,False,"(1, 0, 0)",93.524,"(0, 1, 1)",90.399,111.0,3/5,MODERATE,
MEASURE_ET_DC_Big_S11dB_10GHz,MEASURE_ET_Rcat_cn_2,THIN_ET_lkg_100_at20V,-0.1586,0.1432,True,"(1, 0, 0)",93.28,"(0, 0, 1)",90.619,109.0,4/5,STRONG,
MEASURE_ET_DC_Big_S11dB_10GHz,SIN_GATE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,-0.3389,0.1518,True,"(1, 0, 0)",93.105,"(1, 1, 1)",90.343,94.0,4/5,STRONG,
MEASURE_ET_DC_Diode_S11_dB_rev_9p5,MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0153,0.4887,False,"(0, 0, 0)",93.169,"(0, 1, 1)",90.279,118.0,2/5,WEAK,
MEASURE_ET_DC_Diode_S11_dB_rev_9p5,MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.6132,0.4634,True,"(0, 0, 1)",93.37,"(0, 1, 1)",90.37,103.0,5/5,STRONG,
MEASURE_ET_DC_Diode_S11_dB_rev_9p5,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.029,0.216,False,"(0, 0, 0)",93.561,"(0, 1, 1)",90.387,107.0,2/5,WEAK,
MEASURE_ET_DC_Diode_S11_dB_rev_9p5,THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.2403,0.027,True,"(0, 0, 0)",93.132,"(1, 1, 1)",90.835,112.0,4/4,STRONG,
MEASURE_ET_DC_Diode_S11_dB_rev_9p5,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,0.1072,0.0503,True,"(0, 0, 1)",92.928,"(1, 1, 1)",91.035,113.0,2/5,WEAK,
MEASURE_ET_DC_RF2_S11ang_26GHz,MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0568,0.4872,False,"(1, 1, 0)",93.025,"(1, 1, 1)",89.979,124.0,2/5,WEAK,
MEASURE_ET_DC_RF2_S11ang_26GHz,MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.1785,0.2617,False,"(1, 0, 0)",93.272,"(1, 1, 1)",90.938,108.0,5/5,MODERATE,
MEASURE_ET_DC_RF2_S11ang_26GHz,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.1076,0.3109,False,"(1, 0, 0)",93.47,"(1, 1, 1)",90.064,105.0,4/5,MODERATE,
MEASURE_ET_DC_RF2_S11ang_26GHz,OHMIC_ET_Rsh_an_ct2,TOPSIN_ET_DC_SMALL_Vdg_max,0.1105,0.3424,False,"(1, 0, 0)",93.001,"(1, 1, 1)",91.484,126.0,3/5,MODERATE,
MEASURE_ET_DC_RF2_S11ang_26GHz,TFRP_ET_Rc_TF_AB_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.3039,0.265,True,"(1, 0, 0)",93.518,"(1, 0, 1)",90.971,126.0,5/5,STRONG,
MEASURE_ET_DC_RF2_S11ang_26GHz,THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0027,0.2709,False,"(1, 0, 0)",93.067,"(1, 1, 1)",90.901,114.0,3/3,MODERATE,
MEASURE_ET_DC_RF2_S11ang_26GHz,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,-0.2246,0.2678,False,"(1, 0, 0)",92.983,"(1, 1, 1)",90.474,122.0,5/5,MODERATE,
MEASURE_ET_DC_RF2_S22ang_26GHz,MEASURE_ET_DC_RF2_S22dB_26GHz,THIN_ET_lkg_100_at20V,-0.1775,0.3883,False,"(1, 0, 0)",93.366,"(0, 0, 1)",89.767,130.0,3/5,MODERATE,
MEASURE_ET_DC_RF2_S22ang_26GHz,MEASURE_ET_Rc_OG142_GN,THIN_ET_lkg_100_at20V,0.1159,0.2382,False,"(1, 0, 0)",93.384,"(0, 1, 1)",89.646,115.0,4/5,MODERATE,
MEASURE_ET_DC_RF2_S22ang_26GHz,MEASURE_ET_Rcat_cn_2,THIN_ET_lkg_100_at20V,0.0283,0.2097,False,"(1, 0, 0)",93.35,"(0, 1, 1)",90.175,91.0,1/4,WEAK,
MEASURE_ET_DC_RF2_S22ang_26GHz,SIN_GATE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,-0.1915,0.1596,True,"(1, 0, 0)",93.342,"(0, 1, 1)",90.16,83.0,4/5,STRONG,
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_DC_RF_Gm_m0p2,THIN_ET_lkg_100_at20V,-0.1118,0.1439,False,"(0, 0, 0)",93.246,"(0, 0, 1)",91.037,127.0,4/5,MODERATE,
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_DC_RF_Gm_m0p2_W,THIN_ET_lkg_100_at20V,0.1237,0.1685,False,"(0, 0, 0)",92.98,"(0, 1, 1)",90.506,122.0,5/5,MODERATE,
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_DC_RF_S11ang_10GHz,THIN_ET_lkg_100_at20V,0.1935,0.3123,False,"(0, 0, 0)",92.945,"(0, 1, 1)",89.949,125.0,4/5,MODERATE,
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_DC_RF_S11ang_26GHz_W,THIN_ET_lkg_100_at20V,-0.0926,0.291,False,"(1, 0, 0)",93.072,"(0, 0, 1)",90.301,107.0,3/5,MODERATE,
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_DC_SEC_Gm_0,THIN_ET_lkg_100_at20V,-0.0205,0.1487,False,"(0, 0, 0)",93.082,"(0, 1, 1)",91.053,131.0,3/5,MODERATE,
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_DC_SEC_Idss,THIN_ET_lkg_100_at20V,-0.0356,0.1761,False,"(0, 0, 0)",93.138,"(0, 1, 1)",90.736,110.0,3/5,MODERATE,
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_Ran_con_3,THIN_ET_lkg_100_at20V,0.0359,0.2136,False,"(0, 0, 0)",93.13,"(0, 1, 1)",90.531,125.0,3/5,MODERATE,
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_Rc_F_AB_2,THIN_ET_lkg_100_at20V,0.0494,0.2799,False,"(1, 0, 0)",93.361,"(0, 0, 1)",90.735,105.0,3/4,MODERATE,
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_Rc_OG142_GN,THIN_ET_lkg_100_at20V,0.0533,0.1065,False,"(0, 0, 0)",93.304,"(1, 1, 1)",90.73,97.0,3/5,MODERATE,
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_Rc_TF_AB_2,THIN_ET_lkg_100_at20V,-0.0004,0.3993,False,"(0, 1, 0)",93.16,"(0, 0, 1)",90.742,101.0,2/5,WEAK,
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,0.2762,0.0928,True,"(1, 0, 0)",93.34,"(0, 1, 1)",90.389,100.0,4/4,STRONG,
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_Rc_cat_ct2,THIN_ET_lkg_100_at20V,0.5066,0.2495,True,"(0, 1, 0)",93.565,"(0, 1, 1)",90.405,100.0,5/5,STRONG,
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_Rc_cat_ct2_OW_ST,THIN_ET_lkg_100_at20V,0.0113,0.243,False,"(0, 0, 0)",93.201,"(1, 1, 1)",90.778,117.0,4/4,MODERATE,
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_Rcat_cn_2,THIN_ET_lkg_100_at20V,0.0988,0.2244,False,"(1, 0, 0)",93.163,"(0, 0, 1)",90.997,97.0,5/5,MODERATE,
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_Rcat_cn_2_OW_ST,THIN_ET_lkg_100_at20V,0.0947,0.2232,False,"(1, 0, 0)",93.271,"(0, 0, 1)",90.826,111.0,3/5,MODERATE,
